date,sku_id,on_hand_units,on_order_units,lead_time_days,reorder_point
2025-12-22,SKU0001,37,0.0,7,37
2025-12-29,SKU0001,32,65.0,7,37
2024-01-01,SKU0002,340,0.0,14,188
2024-01-08,SKU0002,267,0.0,14,188
2024-01-15,SKU0002,264,242.0,14,188
2024-01-22,SKU0002,196,0.0,14,188
2024-01-29,SKU0002,208,201.0,14,188
2024-02-05,SKU0002,147,0.0,14,188
2024-02-12,SKU0002,88,0.0,14,188
2024-02-19,SKU0002,25,0.0,14,188
2024-02-26,SKU0002,139,265.0,14,188
2024-03-04,SKU0002,145,170.0,14,188
2024-03-11,SKU0002,219,187.0,14,188
2024-03-18,SKU0002,236,194.0,14,188
2024-03-25,SKU0002,177,0.0,14,188
2024-04-01,SKU0002,174,241.0,14,188
2024-04-08,SKU0002,198,182.0,14,188
2024-04-15,SKU0002,235,188.0,14,188
2024-04-22,SKU0002,168,0.0,14,188
2024-04-29,SKU0002,240,220.0,14,188
2024-05-06,SKU0002,319,216.0,14,188
2024-05-13,SKU0002,246,0.0,14,188
2024-05-20,SKU0002,167,0.0,14,188
2024-05-27,SKU0002,83,0.0,14,188
2024-06-03,SKU0002,17,0.0,14,188
2024-06-10,SKU0002,144,240.0,14,188
2024-06-17,SKU0002,81,0.0,14,188
2024-06-24,SKU0002,17,0.0,14,188
2024-07-01,SKU0002,0,0.0,14,188
2024-07-08,SKU0002,75,217.0,14,188
2024-07-15,SKU0002,77,234.0,14,188
2024-07-22,SKU0002,68,235.0,14,188
2024-07-29,SKU0002,5,0.0,14,188
2024-08-05,SKU0002,0,0.0,14,188
2024-08-12,SKU0002,55,263.0,14,188
2024-08-19,SKU0002,0,0.0,14,188
2024-08-26,SKU0002,119,193.0,14,188
2024-09-02,SKU0002,42,0.0,14,188
2024-09-09,SKU0002,117,163.0,14,188
2024-09-16,SKU0002,48,0.0,14,188
2024-09-23,SKU0002,0,0.0,14,188
2024-09-30,SKU0002,0,0.0,14,188
2024-10-07,SKU0002,0,0.0,14,188
2024-10-14,SKU0002,80,173.0,14,188
2024-10-21,SKU0002,138,253.0,14,188
2024-10-28,SKU0002,200,229.0,14,188
2024-11-04,SKU0002,118,0.0,14,188
2024-11-11,SKU0002,142,253.0,14,188
2024-11-18,SKU0002,85,0.0,14,188
2024-11-25,SKU0002,18,0.0,14,188
2024-12-02,SKU0002,0,0.0,14,188
2024-12-09,SKU0002,0,0.0,14,188
2024-12-16,SKU0002,111,213.0,14,188
2024-12-23,SKU0002,114,206.0,14,188
2024-12-30,SKU0002,153,256.0,14,188
2025-01-06,SKU0002,218,207.0,14,188
2025-01-13,SKU0002,158,0.0,14,188
2025-01-20,SKU0002,75,0.0,14,188
2025-01-27,SKU0002,80,175.0,14,188
2025-02-03,SKU0002,97,226.0,14,188
2025-02-10,SKU0002,150,188.0,14,188
2025-02-17,SKU0002,162,200.0,14,188
2025-02-24,SKU0002,102,0.0,14,188
2025-03-03,SKU0002,147,248.0,14,188
2025-03-10,SKU0002,142,174.0,14,188
2025-03-17,SKU0002,210,236.0,14,188
2025-03-24,SKU0002,288,174.0,14,188
2025-03-31,SKU0002,207,,14,188
2025-04-07,SKU0002,195,203.0,14,188
2025-04-14,SKU0002,227,249.0,14,188
2025-04-21,SKU0002,292,246.0,14,188
2025-04-28,SKU0002,223,,14,188
2025-05-05,SKU0002,254,177.0,14,188
2025-05-12,SKU0002,315,229.0,14,188
2025-05-19,SKU0002,236,0.0,14,188
2025-05-26,SKU0002,249,231.0,14,188
2025-06-02,SKU0002,181,0.0,14,188
2025-06-09,SKU0002,112,0.0,14,188
2025-06-16,SKU0002,138,231.0,14,188
2025-06-23,SKU0002,144,207.0,14,188
2025-06-30,SKU0002,130,172.0,14,188
2025-07-07,SKU0002,123,,14,188
2025-07-14,SKU0002,55,0.0,14,188
2025-07-21,SKU0002,97,256.0,14,188
2025-07-28,SKU0002,30,0.0,14,188
2025-08-04,SKU0002,72,239.0,14,188
2025-08-11,SKU0002,14,0.0,14,188
2025-08-18,SKU0002,0,0.0,14,188
2025-08-25,SKU0002,98,168.0,14,188
2025-09-01,SKU0002,36,0.0,14,188
2025-09-08,SKU0002,86,224.0,14,188
2025-09-15,SKU0002,78,229.0,14,188
2025-09-22,SKU0002,76,175.0,14,188
2025-09-29,SKU0002,3,0.0,14,188
2025-10-06,SKU0002,0,0.0,14,188
2025-10-13,SKU0002,0,0.0,14,188
2025-10-20,SKU0002,70,208.0,14,188
2025-10-27,SKU0002,5,0.0,14,188
2025-11-03,SKU0002,0,0.0,14,188
2025-11-10,SKU0002,0,0.0,14,188
2025-11-17,SKU0002,0,0.0,14,188
2025-11-24,SKU0002,113,264.0,14,188
2025-12-01,SKU0002,166,196.0,14,188
2025-12-08,SKU0002,103,0.0,14,188
2025-12-15,SKU0002,148,214.0,14,188
2025-12-22,SKU0002,81,0.0,14,188
2025-12-29,SKU0002,16,0.0,14,188
2024-01-01,SKU0003,524,0.0,30,804
2024-01-08,SKU0003,656,1009.0,30,804
2024-01-15,SKU0003,531,0.0,30,804
2024-01-22,SKU0003,625,888.0,30,804
2024-01-29,SKU0003,673,827.0,30,804
2024-02-05,SKU0003,763,815.0,30,804
2024-02-12,SKU0003,621,0.0,30,804
2024-02-19,SKU0003,692,746.0,30,804
2024-02-26,SKU0003,558,0.0,30,804
2024-03-04,SKU0003,413,0.0,30,804
2024-03-11,SKU0003,570,1068.0,30,804
2024-03-18,SKU0003,444,0.0,30,804
2024-03-25,SKU0003,522,828.0,30,804
2024-04-01,SKU0003,581,975.0,30,804
2024-04-08,SKU0003,679,1101.0,30,804
2024-04-15,SKU0003,788,1015.0,30,804
2024-04-22,SKU0003,664,0.0,30,804
2024-04-29,SKU0003,534,0.0,30,804
2024-05-06,SKU0003,649,1088.0,30,804
2024-05-13,SKU0003,516,0.0,30,804
2024-05-20,SKU0003,651,969.0,30,804
2024-05-27,SKU0003,516,0.0,30,804
2024-06-03,SKU0003,492,717.0,30,804
2024-06-10,SKU0003,342,0.0,30,804
2024-06-17,SKU0003,430,970.0,30,804
2024-06-24,SKU0003,392,1036.0,30,804
2024-07-01,SKU0003,350,839.0,30,804
2024-07-08,SKU0003,193,0.0,30,804
2024-07-15,SKU0003,280,699.0,30,804
2024-07-22,SKU0003,359,961.0,30,804
2024-07-29,SKU0003,405,1140.0,30,804
2024-08-05,SKU0003,283,0.0,30,804
2024-08-12,SKU0003,272,753.0,30,804
2024-08-19,SKU0003,284,1040.0,30,804
2024-08-26,SKU0003,383,888.0,30,804
2024-09-02,SKU0003,371,1098.0,30,804
2024-09-09,SKU0003,471,1031.0,30,804
2024-09-16,SKU0003,330,0.0,30,804
2024-09-23,SKU0003,284,770.0,30,804
2024-09-30,SKU0003,146,0.0,30,804
2024-10-07,SKU0003,136,863.0,30,804
2024-10-14,SKU0003,180,691.0,30,804
2024-10-21,SKU0003,176,882.0,30,804
2024-10-28,SKU0003,206,935.0,30,804
2024-11-04,SKU0003,256,735.0,30,804
2024-11-11,SKU0003,272,971.0,30,804
2024-11-18,SKU0003,164,0.0,30,804
2024-11-25,SKU0003,300,1090.0,30,804
2024-12-02,SKU0003,154,0.0,30,804
2024-12-09,SKU0003,178,1057.0,30,804
2024-12-16,SKU0003,47,0.0,30,804
2024-12-23,SKU0003,0,0.0,30,804
2024-12-30,SKU0003,175,976.0,30,804
2025-01-06,SKU0003,264,752.0,30,804
2025-01-13,SKU0003,325,775.0,30,804
2025-01-20,SKU0003,377,1086.0,30,804
2025-01-27,SKU0003,412,788.0,30,804
2025-02-03,SKU0003,538,843.0,30,804
2025-02-10,SKU0003,547,1012.0,30,804
2025-02-17,SKU0003,682,1077.0,30,804
2025-02-24,SKU0003,542,0.0,30,804
2025-03-03,SKU0003,663,1112.0,30,804
2025-03-10,SKU0003,527,0.0,30,804
2025-03-17,SKU0003,561,729.0,30,804
2025-03-24,SKU0003,619,899.0,30,804
2025-03-31,SKU0003,684,893.0,30,804
2025-04-07,SKU0003,719,802.0,30,804
2025-04-14,SKU0003,602,0.0,30,804
2025-04-21,SKU0003,645,1146.0,30,804
2025-04-28,SKU0003,745,762.0,30,804
2025-05-05,SKU0003,885,698.0,30,804
2025-05-12,SKU0003,735,0.0,30,804
2025-05-19,SKU0003,792,816.0,30,804
2025-05-26,SKU0003,939,1033.0,30,804
2025-06-02,SKU0003,805,0.0,30,804
2025-06-09,SKU0003,658,0.0,30,804
2025-06-16,SKU0003,670,920.0,30,804
2025-06-23,SKU0003,693,714.0,30,804
2025-06-30,SKU0003,540,0.0,30,804
2025-07-07,SKU0003,681,783.0,30,804
2025-07-14,SKU0003,556,0.0,30,804
2025-07-21,SKU0003,588,949.0,30,804
2025-07-28,SKU0003,721,864.0,30,804
2025-08-04,SKU0003,747,781.0,30,804
2025-08-11,SKU0003,772,1047.0,30,804
2025-08-18,SKU0003,633,0.0,30,804
2025-08-25,SKU0003,480,0.0,30,804
2025-09-01,SKU0003,583,696.0,30,804
2025-09-08,SKU0003,669,1103.0,30,804
2025-09-15,SKU0003,529,0.0,30,804
2025-09-22,SKU0003,388,0.0,30,804
2025-09-29,SKU0003,269,0.0,30,804
2025-10-06,SKU0003,416,819.0,30,804
2025-10-13,SKU0003,554,757.0,30,804
2025-10-20,SKU0003,688,988.0,30,804
2025-10-27,SKU0003,690,1105.0,30,804
2025-11-03,SKU0003,547,0.0,30,804
2025-11-10,SKU0003,690,834.0,30,804
2025-11-17,SKU0003,565,0.0,30,804
2025-11-24,SKU0003,439,0.0,30,804
2025-12-01,SKU0003,330,,30,804
2025-12-08,SKU0003,194,0.0,30,804
2025-12-15,SKU0003,167,920.0,30,804
2025-12-22,SKU0003,138,753.0,30,804
2025-12-29,SKU0003,11,0.0,30,804
2024-01-01,SKU0004,709,0.0,14,302
2024-01-08,SKU0004,577,0.0,14,302
2024-01-15,SKU0004,422,0.0,14,302
2024-01-22,SKU0004,524,523.0,14,302
2024-01-29,SKU0004,387,0.0,14,302
2024-02-05,SKU0004,457,477.0,14,302
2024-02-12,SKU0004,334,0.0,14,302
2024-02-19,SKU0004,435,341.0,14,302
2024-02-26,SKU0004,489,433.0,14,302
2024-03-04,SKU0004,349,0.0,14,302
2024-03-11,SKU0004,502,,14,302
2024-03-18,SKU0004,371,0.0,14,302
2024-03-25,SKU0004,472,538.0,14,302
2024-04-01,SKU0004,341,0.0,14,302
2024-04-08,SKU0004,423,495.0,14,302
2024-04-15,SKU0004,280,0.0,14,302
2024-04-22,SKU0004,413,497.0,14,302
2024-04-29,SKU0004,564,365.0,14,302
2024-05-06,SKU0004,425,0.0,14,302
2024-05-13,SKU0004,285,0.0,14,302
2024-05-20,SKU0004,131,0.0,14,302
2024-05-27,SKU0004,0,0.0,14,302
2024-06-03,SKU0004,282,532.0,14,302
2024-06-10,SKU0004,142,0.0,14,302
2024-06-17,SKU0004,276,518.0,14,302
2024-06-24,SKU0004,145,0.0,14,302
2024-07-01,SKU0004,10,0.0,14,302
2024-07-08,SKU0004,0,0.0,14,302
2024-07-15,SKU0004,157,359.0,14,302
2024-07-22,SKU0004,141,381.0,14,302
2024-07-29,SKU0004,0,0.0,14,302
2024-08-05,SKU0004,267,461.0,14,302
2024-08-12,SKU0004,355,373.0,14,302
2024-08-19,SKU0004,396,335.0,14,302
2024-08-26,SKU0004,558,537.0,14,302
2024-09-02,SKU0004,423,0.0,14,302
2024-09-09,SKU0004,534,433.0,14,302
2024-09-16,SKU0004,374,0.0,14,302
2024-09-23,SKU0004,493,399.0,14,302
2024-09-30,SKU0004,351,0.0,14,302
2024-10-07,SKU0004,401,535.0,14,302
2024-10-14,SKU0004,263,0.0,14,302
2024-10-21,SKU0004,294,499.0,14,302
2024-10-28,SKU0004,268,449.0,14,302
2024-11-04,SKU0004,138,0.0,14,302
2024-11-11,SKU0004,12,0.0,14,302
2024-11-18,SKU0004,0,0.0,14,302
2024-11-25,SKU0004,0,0.0,14,302
2024-12-02,SKU0004,242,490.0,14,302
2024-12-09,SKU0004,204,448.0,14,302
2024-12-16,SKU0004,364,371.0,14,302
2024-12-23,SKU0004,213,0.0,14,302
2024-12-30,SKU0004,231,381.0,14,302
2025-01-06,SKU0004,73,0.0,14,302
2025-01-13,SKU0004,133,494.0,14,302
2025-01-20,SKU0004,0,0.0,14,302
2025-01-27,SKU0004,160,418.0,14,302
2025-02-03,SKU0004,0,0.0,14,302
2025-02-10,SKU0004,201,498.0,14,302
2025-02-17,SKU0004,357,492.0,14,302
2025-02-24,SKU0004,204,0.0,14,302
2025-03-03,SKU0004,163,348.0,14,302
2025-03-10,SKU0004,207,376.0,14,302
2025-03-17,SKU0004,196,348.0,14,302
2025-03-24,SKU0004,244,550.0,14,302
2025-03-31,SKU0004,385,489.0,14,302
2025-04-07,SKU0004,484,528.0,14,302
2025-04-14,SKU0004,346,0.0,14,302
2025-04-21,SKU0004,216,0.0,14,302
2025-04-28,SKU0004,275,333.0,14,302
2025-05-05,SKU0004,263,490.0,14,302
2025-05-12,SKU0004,359,470.0,14,302
2025-05-19,SKU0004,457,509.0,14,302
2025-05-26,SKU0004,306,0.0,14,302
2025-06-02,SKU0004,425,453.0,14,302
2025-06-09,SKU0004,279,0.0,14,302
2025-06-16,SKU0004,136,0.0,14,302
2025-06-23,SKU0004,238,353.0,14,302
2025-06-30,SKU0004,313,497.0,14,302
2025-07-07,SKU0004,166,0.0,14,302
2025-07-14,SKU0004,288,366.0,14,302
2025-07-21,SKU0004,334,514.0,14,302
2025-07-28,SKU0004,190,0.0,14,302
2025-08-04,SKU0004,165,396.0,14,302
2025-08-11,SKU0004,332,399.0,14,302
2025-08-18,SKU0004,349,514.0,14,302
2025-08-25,SKU0004,211,0.0,14,302
2025-09-01,SKU0004,47,0.0,14,302
2025-09-08,SKU0004,0,0.0,14,302
2025-09-15,SKU0004,286,369.0,14,302
2025-09-22,SKU0004,294,372.0,14,302
2025-09-29,SKU0004,293,494.0,14,302
2025-10-06,SKU0004,154,0.0,14,302
2025-10-13,SKU0004,241,453.0,14,302
2025-10-20,SKU0004,95,0.0,14,302
2025-10-27,SKU0004,0,0.0,14,302
2025-11-03,SKU0004,128,365.0,14,302
2025-11-10,SKU0004,11,0.0,14,302
2025-11-17,SKU0004,184,476.0,14,302
2025-11-24,SKU0004,260,468.0,14,302
2025-12-01,SKU0004,275,489.0,14,302
2025-12-08,SKU0004,134,0.0,14,302
2025-12-15,SKU0004,204,487.0,14,302
2025-12-22,SKU0004,265,513.0,14,302
2025-12-29,SKU0004,135,0.0,14,302
2024-01-01,SKU0005,776,0.0,7,142
2024-01-08,SKU0005,671,0.0,7,142
2024-01-15,SKU0005,553,0.0,7,142
2024-01-22,SKU0005,427,0.0,7,142
2024-01-29,SKU0005,315,0.0,7,142
2024-02-05,SKU0005,223,0.0,7,142
2024-02-12,SKU0005,328,176.0,7,142
2024-02-19,SKU0005,221,0.0,7,142
2024-02-26,SKU0005,247,200.0,7,142
2024-03-04,SKU0005,153,0.0,7,142
2024-03-11,SKU0005,247,207.0,7,142
2024-03-18,SKU0005,130,0.0,7,142
2024-03-25,SKU0005,35,0.0,7,142
2024-04-01,SKU0005,0,0.0,7,142
2024-04-08,SKU0005,163,188.0,7,142
2024-04-15,SKU0005,226,196.0,7,142
2024-04-22,SKU0005,290,179.0,7,142
2024-04-29,SKU0005,190,0.0,7,142
2024-05-06,SKU0005,90,0.0,7,142
2024-05-13,SKU0005,0,0.0,7,142
2024-05-20,SKU0005,183,207.0,7,142
2024-05-27,SKU0005,157,189.0,7,142
2024-06-03,SKU0005,127,162.0,7,142
2024-06-10,SKU0005,125,150.0,7,142
2024-06-17,SKU0005,130,140.0,7,142
2024-06-24,SKU0005,39,0.0,7,142
2024-07-01,SKU0005,0,0.0,7,142
2024-07-08,SKU0005,0,0.0,7,142
2024-07-15,SKU0005,0,0.0,7,142
2024-07-22,SKU0005,177,161.0,7,142
2024-07-29,SKU0005,198,175.0,7,142
2024-08-05,SKU0005,209,143.0,7,142
2024-08-12,SKU0005,242,192.0,7,142
2024-08-19,SKU0005,150,0.0,7,142
2024-08-26,SKU0005,49,0.0,7,142
2024-09-02,SKU0005,0,0.0,7,142
2024-09-09,SKU0005,163,150.0,7,142
2024-09-16,SKU0005,147,199.0,7,142
2024-09-23,SKU0005,219,200.0,7,142
2024-09-30,SKU0005,302,204.0,7,142
2024-10-07,SKU0005,202,0.0,7,142
2024-10-14,SKU0005,204,197.0,7,142
2024-10-21,SKU0005,325,,7,142
2024-10-28,SKU0005,224,0.0,7,142
2024-11-04,SKU0005,270,209.0,7,142
2024-11-11,SKU0005,195,0.0,7,142
2024-11-18,SKU0005,97,0.0,7,142
2024-11-25,SKU0005,194,138.0,7,142
2024-12-02,SKU0005,82,0.0,7,142
2024-12-09,SKU0005,0,0.0,7,142
2024-12-16,SKU0005,118,176.0,7,142
2024-12-23,SKU0005,20,0.0,7,142
2024-12-30,SKU0005,0,0.0,7,142
2025-01-06,SKU0005,111,148.0,7,142
2025-01-13,SKU0005,4,0.0,7,142
2025-01-20,SKU0005,0,0.0,7,142
2025-01-27,SKU0005,0,,7,142
2025-02-03,SKU0005,145,210.0,7,142
2025-02-10,SKU0005,234,207.0,7,142
2025-02-17,SKU0005,199,150.0,7,142
2025-02-24,SKU0005,103,0.0,7,142
2025-03-03,SKU0005,4,0.0,7,142
2025-03-10,SKU0005,0,0.0,7,142
2025-03-17,SKU0005,0,0.0,7,142
2025-03-24,SKU0005,79,212.0,7,142
2025-03-31,SKU0005,114,153.0,7,142
2025-04-07,SKU0005,21,0.0,7,142
2025-04-14,SKU0005,92,208.0,7,142
2025-04-21,SKU0005,118,142.0,7,142
2025-04-28,SKU0005,199,161.0,7,142
2025-05-05,SKU0005,90,0.0,7,142
2025-05-12,SKU0005,98,179.0,7,142
2025-05-19,SKU0005,157,205.0,7,142
2025-05-26,SKU0005,273,176.0,7,142
2025-06-02,SKU0005,168,0.0,7,142
2025-06-09,SKU0005,141,205.0,7,142
2025-06-16,SKU0005,192,130.0,7,142
2025-06-23,SKU0005,256,168.0,7,142
2025-06-30,SKU0005,168,0.0,7,142
2025-07-07,SKU0005,78,0.0,7,142
2025-07-14,SKU0005,98,146.0,7,142
2025-07-21,SKU0005,0,0.0,7,142
2025-07-28,SKU0005,151,187.0,7,142
2025-08-04,SKU0005,240,197.0,7,142
2025-08-11,SKU0005,154,0.0,7,142
2025-08-18,SKU0005,56,0.0,7,142
2025-08-25,SKU0005,104,207.0,7,142
2025-09-01,SKU0005,0,,7,142
2025-09-08,SKU0005,0,0.0,7,142
2025-09-15,SKU0005,0,0.0,7,142
2025-09-22,SKU0005,194,145.0,7,142
2025-09-29,SKU0005,85,0.0,7,142
2025-10-06,SKU0005,207,179.0,7,142
2025-10-13,SKU0005,174,203.0,7,142
2025-10-20,SKU0005,204,160.0,7,142
2025-10-27,SKU0005,244,155.0,7,142
2025-11-03,SKU0005,130,0.0,7,142
2025-11-10,SKU0005,242,147.0,7,142
2025-11-17,SKU0005,117,0.0,7,142
2025-11-24,SKU0005,9,,7,142
2025-12-01,SKU0005,188,194.0,7,142
2025-12-08,SKU0005,255,187.0,7,142
2025-12-15,SKU0005,327,170.0,7,142
2025-12-22,SKU0005,213,0.0,7,142
2025-12-29,SKU0005,101,0.0,7,142
2025-01-27,SKU0006,58,0.0,30,256
2025-02-03,SKU0006,73,304.0,30,256
2025-02-10,SKU0006,32,0.0,30,256
2025-02-17,SKU0006,0,0.0,30,256
2025-02-24,SKU0006,0,0.0,30,256
2025-03-03,SKU0006,0,0.0,30,256
2025-03-10,SKU0006,0,0.0,30,256
2025-03-17,SKU0006,44,318.0,30,256
2025-03-24,SKU0006,13,0.0,30,256
2025-03-31,SKU0006,0,0.0,30,256
2025-04-07,SKU0006,0,0.0,30,256
2025-04-14,SKU0006,0,0.0,30,256
2025-04-21,SKU0006,39,336.0,30,256
2025-04-28,SKU0006,86,367.0,30,256
2025-05-05,SKU0006,99,277.0,30,256
2025-05-12,SKU0006,106,327.0,30,256
2025-05-19,SKU0006,99,365.0,30,256
2025-05-26,SKU0006,98,250.0,30,256
2025-06-02,SKU0006,51,0.0,30,256
2025-06-09,SKU0006,22,0.0,30,256
2025-06-16,SKU0006,51,257.0,30,256
2025-06-23,SKU0006,0,0.0,30,256
2025-06-30,SKU0006,0,0.0,30,256
2025-07-07,SKU0006,0,0.0,30,256
2025-07-14,SKU0006,88,286.0,30,256
2025-07-21,SKU0006,123,367.0,30,256
2025-07-28,SKU0006,137,318.0,30,256
2025-08-04,SKU0006,181,263.0,30,256
2025-08-11,SKU0006,143,0.0,30,256
2025-08-18,SKU0006,153,283.0,30,256
2025-08-25,SKU0006,114,0.0,30,256
2025-09-01,SKU0006,125,,30,256
2025-09-08,SKU0006,84,0.0,30,256
2025-09-15,SKU0006,39,0.0,30,256
2025-09-22,SKU0006,72,258.0,30,256
2025-09-29,SKU0006,87,304.0,30,256
2025-10-06,SKU0006,41,0.0,30,256
2025-10-13,SKU0006,0,0.0,30,256
2025-10-20,SKU0006,83,254.0,30,256
2025-10-27,SKU0006,24,0.0,30,256
2025-11-03,SKU0006,0,0.0,30,256
2025-11-10,SKU0006,0,0.0,30,256
2025-11-17,SKU0006,0,0.0,30,256
2025-11-24,SKU0006,0,0.0,30,256
2025-12-01,SKU0006,58,294.0,30,256
2025-12-08,SKU0006,65,280.0,30,256
2025-12-15,SKU0006,120,321.0,30,256
2025-12-22,SKU0006,162,,30,256
2025-12-29,SKU0006,191,,30,256
2024-01-01,SKU0007,512,0.0,10,226
2024-01-08,SKU0007,360,0.0,10,226
2024-01-15,SKU0007,472,293.0,10,226
2024-01-22,SKU0007,321,0.0,10,226
2024-01-29,SKU0007,392,356.0,10,226
2024-02-05,SKU0007,235,0.0,10,226
2024-02-12,SKU0007,204,346.0,10,226
2024-02-19,SKU0007,39,0.0,10,226
2024-02-26,SKU0007,258,424.0,10,226
2024-03-04,SKU0007,111,0.0,10,226
2024-03-11,SKU0007,209,310.0,10,226
2024-03-18,SKU0007,353,275.0,10,226
2024-03-25,SKU0007,219,0.0,10,226
2024-04-01,SKU0007,64,0.0,10,226
2024-04-08,SKU0007,286,321.0,10,226
2024-04-15,SKU0007,320,410.0,10,226
2024-04-22,SKU0007,364,263.0,10,226
2024-04-29,SKU0007,206,0.0,10,226
2024-05-06,SKU0007,59,0.0,10,226
2024-05-13,SKU0007,281,308.0,10,226
2024-05-20,SKU0007,133,0.0,10,226
2024-05-27,SKU0007,125,291.0,10,226
2024-06-03,SKU0007,262,359.0,10,226
2024-06-10,SKU0007,234,384.0,10,226
2024-06-17,SKU0007,68,0.0,10,226
2024-06-24,SKU0007,280,299.0,10,226
2024-07-01,SKU0007,135,0.0,10,226
2024-07-08,SKU0007,0,0.0,10,226
2024-07-15,SKU0007,317,275.0,10,226
2024-07-22,SKU0007,478,345.0,10,226
2024-07-29,SKU0007,319,0.0,10,226
