sku_id,date,Total_stock
SKU0161,2025-12-29,153.0
SKU0162,2025-12-29,391.0
SKU0163,2025-12-29,0.0
SKU0164,2025-12-29,512.0
SKU0165,2025-12-29,63.0
SKU0166,2025-12-29,0.0
SKU0167,2025-12-29,489.0
SKU0168,2025-12-29,794.0
SKU0169,2025-12-29,126.0
SKU0170,2025-12-29,305.0
SKU0171,2025-12-29,0.0
SKU0172,2025-12-29,34.0
SKU0173,2025-12-29,130.0
SKU0174,2025-12-29,295.0
SKU0175,2025-12-29,0.0
SKU0176,2025-12-29,0.0
SKU0177,2025-12-29,954.0
SKU0178,2025-12-29,431.0
SKU0179,2025-12-29,350.0
SKU0180,2025-12-29,0.0
SKU0181,2025-12-29,0.0
SKU0182,2025-12-29,0.0
SKU0183,2025-12-29,387.0
SKU0184,2025-12-29,119.0
SKU0185,2025-12-29,43.0
SKU0186,2025-12-29,678.0
SKU0187,2025-12-29,694.0
SKU0188,2025-12-29,702.0
SKU0189,2025-12-29,206.0
SKU0190,2025-12-29,20.0
SKU0191,2025-12-29,404.0
SKU0192,2025-12-29,576.0
SKU0193,2025-12-29,526.0
SKU0194,2025-12-29,494.0
SKU0195,2025-12-29,102.0
SKU0196,2025-12-29,368.0
SKU0197,2025-12-29,140.0
SKU0198,2025-12-29,44.0
SKU0199,2025-12-29,465.0
SKU0200,2025-12-29,417.0
