sku_id,date,Total_stock,lead_time_days,reorder_point,Forecast_demand,Coverage,Lead_Time_Points,Coverage_Rating,Total_Points,risk,Action
SKU0057,2025-12-29,1167.0,21,690,57.177918328132314,20.409977035239844,3,1,4,0.4444444444444444,Fine
SKU0058,2025-12-29,80.0,14,129,185.92552420734714,0.4302798141409714,4,4,8,0.8888888888888888,Order ASAP
SKU0059,2025-12-29,798.0,21,303,60.63061808621212,13.161666913329249,3,1,4,0.4444444444444444,Fine
SKU0060,2025-12-29,641.0,7,223,95.85940073454587,6.686876770438603,5,1,6,0.6666666666666666,Monitor
SKU0061,2025-12-29,439.0,14,218,85.73346229085273,5.120521069249279,4,1,5,0.5555555555555556,Fine
SKU0062,2025-12-29,707.0,30,307,111.90556108471175,6.317827220979713,1,1,2,0.2222222222222222,Overstock
SKU0063,2025-12-29,7.0,14,206,75.47253223394753,0.09274897492907229,4,4,8,0.8888888888888888,Order ASAP
SKU0064,2025-12-29,962.0,30,473,109.84427907314429,8.75785255379038,1,1,2,0.2222222222222222,Overstock
SKU0065,2025-12-29,65.0,10,310,115.98258620464313,0.5604289585792824,4,3,7,0.7777777777777778,Monitor
SKU0066,2025-12-29,70.0,10,192,102.05351977613572,0.6859146078797849,4,3,7,0.7777777777777778,Monitor
SKU0067,2025-12-29,585.0,7,167,108.66852934003185,5.38334330604118,5,1,6,0.6666666666666666,Monitor
SKU0068,2025-12-29,372.0,10,150,208.3356583471536,1.7855800728079367,4,2,6,0.6666666666666666,Monitor
SKU0069,2025-12-29,384.0,14,260,172.51101309578226,2.225944843224554,4,1,5,0.5555555555555556,Fine
SKU0070,2025-12-29,314.0,14,118,183.77109157378058,1.7086474119022959,4,2,6,0.6666666666666666,Monitor
SKU0071,2025-12-29,412.0,7,184,80.83280862573153,5.096940301896772,5,1,6,0.6666666666666666,Monitor
SKU0072,2025-12-29,775.0,10,347,49.77826708602906,15.569043387159498,4,1,5,0.5555555555555556,Fine
SKU0073,2025-12-29,52.0,10,250,109.31738053521164,0.4756791623199438,4,4,8,0.8888888888888888,Order ASAP
SKU0074,2025-12-29,180.0,21,63,50.682080349224904,3.5515511352278732,3,1,4,0.4444444444444444,Fine
SKU0075,2025-12-29,286.0,30,230,78.96769382513912,3.6217342326508817,1,1,2,0.2222222222222222,Overstock
SKU0076,2025-12-29,96.0,7,95,114.30688570152303,0.8398444189151844,5,3,8,0.8888888888888888,Order ASAP
SKU0077,2025-12-29,993.0,21,400,107.59205118681288,9.22930633858673,3,1,4,0.4444444444444444,Fine
SKU0078,2025-12-29,776.0,14,405,55.752429084933695,13.91867606015579,4,1,5,0.5555555555555556,Fine
SKU0079,2025-12-29,28.0,14,98,58.46623520941397,0.4789088933075609,4,4,8,0.8888888888888888,Order ASAP
SKU0080,2025-12-29,0.0,10,39,79.20807213325979,0.0,4,4,8,0.8888888888888888,Order ASAP
SKU0081,2025-12-29,662.0,10,323,95.75621963698602,6.913389046786276,4,1,5,0.5555555555555556,Fine
SKU0082,2025-12-29,0.0,21,216,73.56928675503266,0.0,3,4,7,0.7777777777777778,Monitor
SKU0083,2025-12-29,226.0,7,106,111.92714085191695,2.01917067013268,5,1,6,0.6666666666666666,Monitor
SKU0084,2025-12-29,0.0,14,210,56.49654268668228,0.0,4,4,8,0.8888888888888888,Order ASAP
SKU0085,2025-12-29,131.0,14,58,121.55343964596244,1.0777152862276187,4,2,6,0.6666666666666666,Monitor
SKU0086,2025-12-29,5.0,10,20,50.05670450896039,0.09988671945243571,4,4,8,0.8888888888888888,Order ASAP
SKU0087,2025-12-29,16.0,21,293,178.24318349497744,0.08976500355454463,3,4,7,0.7777777777777778,Monitor
SKU0088,2025-12-29,136.0,14,76,64.51269325634627,2.1081122665208425,4,1,5,0.5555555555555556,Fine
SKU0089,2025-12-29,122.0,10,162,64.68918513902676,1.8859412085312823,4,2,6,0.6666666666666666,Monitor
SKU0090,2025-12-29,177.0,7,174,77.19053769147615,2.2930271674936837,5,1,6,0.6666666666666666,Monitor
SKU0091,2025-12-29,637.0,14,404,105.20884173018301,6.0546242076653645,4,1,5,0.5555555555555556,Fine
SKU0092,2025-12-29,67.0,7,59,60.26945950298147,1.1116741472799434,5,2,7,0.7777777777777778,Monitor
SKU0093,2025-12-29,35.0,7,109,38.264963474866704,0.9146748571441548,5,3,8,0.8888888888888888,Order ASAP
SKU0094,2025-12-29,20.0,10,94,78.40191116597227,0.25509582231562145,4,4,8,0.8888888888888888,Order ASAP
SKU0095,2025-12-29,694.0,10,336,65.62717664302777,10.574887348498034,4,1,5,0.5555555555555556,Fine
SKU0096,2025-12-29,345.0,10,151,63.259856675747486,5.453695568239658,4,1,5,0.5555555555555556,Fine
SKU0097,2025-12-29,67.0,10,87,64.09243031615686,1.0453652587286923,4,2,6,0.6666666666666666,Monitor
SKU0098,2025-12-29,151.0,10,50,71.4345312105449,2.11382362900857,4,1,5,0.5555555555555556,Fine
SKU0099,2025-12-29,973.0,21,449,48.40904080338597,20.099551320420783,3,1,4,0.4444444444444444,Fine
SKU0100,2025-12-29,768.0,30,461,59.02877809344363,13.010603044912129,1,1,2,0.2222222222222222,Overstock
SKU0101,2025-12-29,144.0,7,162,97.95938258962614,1.469997015020484,5,2,7,0.7777777777777778,Monitor
SKU0102,2025-12-29,26.0,21,42,80.07417826980833,0.3246989299396058,3,4,7,0.7777777777777778,Monitor
SKU0103,2025-12-29,783.0,21,299,69.88578081604156,11.203995875227747,3,1,4,0.4444444444444444,Fine
SKU0104,2025-12-29,0.0,30,589,161.55062592876095,0.0,1,4,5,0.5555555555555556,Fine
SKU0105,2025-12-29,0.0,14,499,80.71924304658832,0.0,4,4,8,0.8888888888888888,Order ASAP
SKU0106,2025-12-29,0.0,14,118,53.34928126436801,0.0,4,4,8,0.8888888888888888,Order ASAP
SKU0107,2025-12-29,414.0,14,196,138.2260820352398,2.9950932118183995,4,1,5,0.5555555555555556,Fine
SKU0108,2025-12-29,565.0,14,336,88.71332364360164,6.368829131798063,4,1,5,0.5555555555555556,Fine
SKU0109,2025-12-29,0.0,14,213,86.9515266193419,0.0,4,4,8,0.8888888888888888,Order ASAP
SKU0110,2025-12-29,181.0,7,119,84.31789734603818,2.146637970076285,5,1,6,0.6666666666666666,Monitor
SKU0111,2025-12-29,36.0,10,16,88.7845645330734,0.40547588636974774,4,4,8,0.8888888888888888,Order ASAP
SKU0112,2025-12-29,113.0,14,83,54.11314051705517,2.0882173704995943,4,1,5,0.5555555555555556,Fine
SKU0113,2025-12-29,157.0,7,71,81.26892002330911,1.9318578363656134,5,2,7,0.7777777777777778,Monitor
SKU0114,2025-12-29,911.0,21,527,97.11106967101878,9.381010868134563,3,1,4,0.4444444444444444,Fine
SKU0115,2025-12-29,204.0,7,81,44.40419327983362,4.594160707174644,5,1,6,0.6666666666666666,Monitor
SKU0116,2025-12-29,1042.0,14,470,77.45022975847728,13.45380127663144,4,1,5,0.5555555555555556,Fine
SKU0117,2025-12-29,245.0,14,119,62.10526919808594,3.944914870565456,4,1,5,0.5555555555555556,Fine
SKU0118,2025-12-29,184.0,7,161,82.09003875990224,2.2414412610787653,5,1,6,0.6666666666666666,Monitor
SKU0119,2025-12-29,680.0,10,332,62.014240939225964,10.965223305182448,4,1,5,0.5555555555555556,Fine
SKU0120,2025-12-29,252.0,21,388,136.89562200500532,1.8408185470736684,3,2,5,0.5555555555555556,Fine
SKU0121,2025-12-29,508.0,21,280,61.230102464351404,8.296572756770432,3,1,4,0.4444444444444444,Fine
SKU0122,2025-12-29,196.0,7,166,73.29934108150745,2.673966738419269,5,1,6,0.6666666666666666,Monitor
SKU0123,2025-12-29,218.0,21,524,229.5939083626619,0.9495025436635349,3,3,6,0.6666666666666666,Monitor
SKU0124,2025-12-29,115.0,14,301,131.75685874701958,0.8728198371881826,4,3,7,0.7777777777777778,Monitor
SKU0125,2025-12-29,0.0,7,107,85.71412576276714,0.0,5,4,9,1.0,Order ASAP
SKU0126,2025-12-29,897.0,30,614,85.1855755617591,10.529951744584736,1,1,2,0.2222222222222222,Overstock
SKU0127,2025-12-29,155.0,21,284,97.65607908314304,1.587202777904232,3,2,5,0.5555555555555556,Fine
SKU0128,2025-12-29,1015.0,14,412,75.94914584481329,13.36420559717613,4,1,5,0.5555555555555556,Fine
SKU0129,2025-12-29,953.0,14,432,106.43852231488275,8.953525277067351,4,1,5,0.5555555555555556,Fine
SKU0130,2025-12-29,20.0,10,129,109.01891462737139,0.18345440392944987,4,4,8,0.8888888888888888,Order ASAP
SKU0131,2025-12-29,83.0,7,121,252.02180110587258,0.32933658769120644,5,4,9,1.0,Order ASAP
SKU0132,2025-12-29,353.0,7,94,89.06000297700706,3.963619898947626,5,1,6,0.6666666666666666,Monitor
SKU0133,2025-12-29,46.0,10,25,91.70192094219371,0.5016252607074294,4,3,7,0.7777777777777778,Monitor
SKU0134,2025-12-29,279.0,14,96,55.44754021970446,5.031783175493355,4,1,5,0.5555555555555556,Fine
SKU0135,2025-12-29,51.0,7,158,97.77155924440724,0.5216240836715235,5,3,8,0.8888888888888888,Order ASAP
SKU0136,2025-12-29,20.0,7,19,203.68386828133058,0.09819137945856253,5,4,9,1.0,Order ASAP
SKU0137,2025-12-29,0.0,30,109,54.24965535231468,0.0,1,4,5,0.5555555555555556,Fine
SKU0138,2025-12-29,55.0,10,314,40.311303524324714,1.3643815801394714,4,2,6,0.6666666666666666,Monitor
SKU0139,2025-12-29,488.0,10,258,90.1436775792139,5.413579888297426,4,1,5,0.5555555555555556,Fine
SKU0140,2025-12-29,43.0,7,79,164.52880614153648,0.2613524100029578,5,4,9,1.0,Order ASAP
SKU0141,2025-12-29,32.0,10,30,57.225164740842956,0.5591945457023882,4,3,7,0.7777777777777778,Monitor
SKU0142,2025-12-29,626.0,10,275,137.53588285414125,4.5515394747120785,4,1,5,0.5555555555555556,Fine
SKU0143,2025-12-29,980.0,10,319,60.4108942270508,16.222239590043603,4,1,5,0.5555555555555556,Fine
SKU0144,2025-12-29,152.0,14,71,77.58056367698705,1.9592536170897685,4,2,6,0.6666666666666666,Monitor
SKU0145,2025-12-29,96.0,10,91,98.26336470956237,0.9769663422756568,4,3,7,0.7777777777777778,Monitor
SKU0146,2025-12-29,26.0,7,67,143.39247136951468,0.1813205376243178,5,4,9,1.0,Order ASAP
SKU0147,2025-12-29,128.0,10,69,71.58754860429097,1.7880204378492666,4,2,6,0.6666666666666666,Monitor
SKU0148,2025-12-29,77.0,14,32,56.340082311327215,1.366700168709535,4,2,6,0.6666666666666666,Monitor
SKU0149,2025-12-29,104.0,10,279,81.73735864244941,1.2723680056133932,4,2,6,0.6666666666666666,Monitor
SKU0150,2025-12-29,631.0,21,346,68.7298351064036,9.180874637966495,3,1,4,0.4444444444444444,Fine
SKU0151,2025-12-29,292.0,7,100,88.22164594215909,3.309845297960599,5,1,6,0.6666666666666666,Monitor
SKU0152,2025-12-29,21.0,14,43,136.48288841873173,0.15386544235180352,4,4,8,0.8888888888888888,Order ASAP
SKU0153,2025-12-29,73.0,7,26,91.77621539911641,0.7954130564497305,5,3,8,0.8888888888888888,Order ASAP
SKU0154,2025-12-29,96.0,10,166,58.06726886268187,1.6532549555072389,4,2,6,0.6666666666666666,Monitor
SKU0155,2025-12-29,555.0,14,342,87.01230179425647,6.378408438295498,4,1,5,0.5555555555555556,Fine
SKU0156,2025-12-29,350.0,14,208,60.11004263463798,5.8226543296163795,4,1,5,0.5555555555555556,Fine
SKU0157,2025-12-29,196.0,14,75,85.80061589387746,2.2843658866321275,4,1,5,0.5555555555555556,Fine
SKU0158,2025-12-29,41.0,7,134,319.43302610196577,0.12835241396396016,5,4,9,1.0,Order ASAP
SKU0159,2025-12-29,59.0,7,23,48.72943385964575,1.2107671960633961,5,2,7,0.7777777777777778,Monitor
SKU0160,2025-12-29,132.0,30,679,58.78128164360614,2.2456128262109463,1,1,2,0.2222222222222222,Overstock
SKU0161,2025-12-29,153.0,7,113,83.48426848525803,1.8326806088864194,5,2,7,0.7777777777777778,Monitor
SKU0162,2025-12-29,391.0,10,291,192.73240642064633,2.028719545724068,4,1,5,0.5555555555555556,Fine
SKU0163,2025-12-29,0.0,14,36,60.08481755723057,0.0,4,4,8,0.8888888888888888,Order ASAP
SKU0164,2025-12-29,512.0,10,264,59.730274406781746,8.571867534261115,4,1,5,0.5555555555555556,Fine
SKU0165,2025-12-29,63.0,30,310,115.21376734236598,0.5468096517735678,1,3,4,0.4444444444444444,Fine
SKU0166,2025-12-29,0.0,7,108,62.68065682572444,0.0,5,4,9,1.0,Order ASAP
SKU0167,2025-12-29,489.0,10,214,81.62864705945495,5.990543977089716,4,1,5,0.5555555555555556,Fine
SKU0168,2025-12-29,794.0,14,326,79.97276754935815,9.928379676368628,4,1,5,0.5555555555555556,Fine
SKU0169,2025-12-29,126.0,7,136,95.48878366841359,1.3195267041785466,5,2,7,0.7777777777777778,Monitor
SKU0170,2025-12-29,305.0,14,296,98.69039577988933,3.090472964362673,4,1,5,0.5555555555555556,Fine
SKU0171,2025-12-29,0.0,14,134,56.62874840303977,0.0,4,4,8,0.8888888888888888,Order ASAP
SKU0172,2025-12-29,34.0,10,56,69.68700193631017,0.4878958637232522,4,4,8,0.8888888888888888,Order ASAP
SKU0173,2025-12-29,130.0,7,39,63.478964611550424,2.047922501501318,5,1,6,0.6666666666666666,Monitor
SKU0174,2025-12-29,295.0,10,107,68.01752510684747,4.337117522823566,4,1,5,0.5555555555555556,Fine
SKU0175,2025-12-29,0.0,21,67,150.87983813787116,0.0,3,4,7,0.7777777777777778,Monitor
SKU0176,2025-12-29,0.0,30,747,45.889868822854694,0.0,1,4,5,0.5555555555555556,Fine
SKU0177,2025-12-29,954.0,30,554,72.19763082617743,13.213729994781193,1,1,2,0.2222222222222222,Overstock
SKU0178,2025-12-29,431.0,7,158,88.55764467001681,4.866886439967895,5,1,6,0.6666666666666666,Monitor
SKU0179,2025-12-29,350.0,14,181,77.3622969338921,4.524167635548402,4,1,5,0.5555555555555556,Fine
SKU0180,2025-12-29,0.0,14,223,85.92729069045244,0.0,4,4,8,0.8888888888888888,Order ASAP
SKU0181,2025-12-29,0.0,10,93,112.21450220965791,0.0,4,4,8,0.8888888888888888,Order ASAP
SKU0182,2025-12-29,0.0,14,242,62.36227878107352,0.0,4,4,8,0.8888888888888888,Order ASAP
SKU0183,2025-12-29,387.0,7,227,69.83439790802409,5.541681629584624,5,1,6,0.6666666666666666,Monitor
SKU0184,2025-12-29,119.0,10,169,56.888568970249885,2.0918086384319414,4,1,5,0.5555555555555556,Fine
SKU0185,2025-12-29,43.0,7,162,79.49353360535297,0.5409245010226146,5,3,8,0.8888888888888888,Order ASAP
SKU0186,2025-12-29,678.0,7,206,68.44271971338809,9.906093779429053,5,1,6,0.6666666666666666,Monitor
SKU0187,2025-12-29,694.0,14,250,84.25191591807776,8.237201402930825,4,1,5,0.5555555555555556,Fine
SKU0188,2025-12-29,702.0,21,409,202.23203219777372,3.4712601775839147,3,1,4,0.4444444444444444,Fine
SKU0189,2025-12-29,206.0,21,413,83.79028526327178,2.458518900523388,3,1,4,0.4444444444444444,Fine
SKU0190,2025-12-29,20.0,21,59,102.24331105669387,0.1956118184485439,3,4,7,0.7777777777777778,Monitor
SKU0191,2025-12-29,404.0,14,261,47.59862981751186,8.487639277619827,4,1,5,0.5555555555555556,Fine
SKU0192,2025-12-29,576.0,14,416,110.51236838798556,5.212086288638623,4,1,5,0.5555555555555556,Fine
SKU0193,2025-12-29,526.0,10,254,98.93617985305009,5.316558621742499,4,1,5,0.5555555555555556,Fine
SKU0194,2025-12-29,494.0,14,191,74.83976216545706,6.600769239590261,4,1,5,0.5555555555555556,Fine
SKU0195,2025-12-29,102.0,7,33,105.60757833729414,0.9658397778446155,5,3,8,0.8888888888888888,Order ASAP
SKU0196,2025-12-29,368.0,21,125,90.88273710112225,4.04917382264289,3,1,4,0.4444444444444444,Fine
SKU0197,2025-12-29,140.0,10,223,98.59586823248779,1.419937797696368,4,2,6,0.6666666666666666,Monitor
SKU0198,2025-12-29,44.0,7,20,197.94716067883368,0.22228154144322051,5,4,9,1.0,Order ASAP
SKU0199,2025-12-29,465.0,7,251,110.67333883436815,4.201553914406713,5,1,6,0.6666666666666666,Monitor
SKU0200,2025-12-29,417.0,7,218,113.68536551187407,3.6680182899745852,5,1,6,0.6666666666666666,Monitor
